Initial setup information
Sensor Model, MA24126A
Sensor Serial No, 1833505
Frequency, 0.01, GHz
Fixed Offset, 0, dB
Sample Interval, Full Speed
Any setup information is not updated during data logging.
7:59:57, -14.37 ,dBm
7:59:57, -14.357 ,dBm
7:59:57, -14.35 ,dBm
7:59:58, -14.354 ,dBm
7:59:58, -14.351 ,dBm
7:59:58, -14.357 ,dBm
7:59:58, -14.368 ,dBm
7:59:58, -14.368 ,dBm
7:59:58, -14.358 ,dBm
7:59:58, -14.339 ,dBm
7:59:58, -14.327 ,dBm
7:59:58, -14.319 ,dBm
7:59:58, -14.325 ,dBm
7:59:59, -14.346 ,dBm
7:59:59, -14.353 ,dBm
7:59:59, -14.339 ,dBm
7:59:59, -14.328 ,dBm
7:59:59, -14.332 ,dBm
7:59:59, -14.329 ,dBm
7:59:59, -14.339 ,dBm
7:59:59, -14.358 ,dBm
7:59:59, -14.368 ,dBm
7:59:59, -14.355 ,dBm
8:0:0, -14.33 ,dBm
8:0:0, -14.324 ,dBm
8:0:0, -14.332 ,dBm
8:0:0, -14.336 ,dBm
8:0:0, -14.356 ,dBm
8:0:0, -14.373 ,dBm
8:0:0, -14.375 ,dBm
8:0:0, -14.359 ,dBm
8:0:0, -14.344 ,dBm
8:0:0, -14.344 ,dBm
8:0:1, -14.348 ,dBm
8:0:1, -14.36 ,dBm
8:0:1, -14.355 ,dBm
8:0:1, -14.374 ,dBm
8:0:1, -14.371 ,dBm
8:0:1, -14.366 ,dBm
8:0:1, -14.377 ,dBm
8:0:1, -14.392 ,dBm
8:0:1, -14.409 ,dBm
8:0:1, -14.404 ,dBm
8:0:1, -14.412 ,dBm
8:0:2, -14.42 ,dBm
8:0:2, -14.416 ,dBm
8:0:2, -14.411 ,dBm
8:0:2, -14.415 ,dBm
8:0:2, -14.436 ,dBm
8:0:2, -14.424 ,dBm
8:0:2, -14.431 ,dBm
8:0:2, -14.439 ,dBm
8:0:2, -14.44 ,dBm
8:0:3, -14.446 ,dBm
8:0:3, -14.426 ,dBm
8:0:3, -14.43 ,dBm
8:0:3, -14.457 ,dBm
8:0:3, -14.457 ,dBm
8:0:3, -14.463 ,dBm
8:0:3, -14.472 ,dBm
8:0:3, -14.483 ,dBm
8:0:3, -14.464 ,dBm
8:0:3, -14.472 ,dBm
8:0:3, -14.492 ,dBm
8:0:4, -14.506 ,dBm
8:0:4, -14.501 ,dBm
8:0:4, -14.52 ,dBm
8:0:4, -14.524 ,dBm
8:0:4, -14.524 ,dBm
8:0:4, -14.507 ,dBm
8:0:4, -14.525 ,dBm
8:0:4, -14.54 ,dBm
8:0:4, -14.542 ,dBm
8:0:5, -14.541 ,dBm
8:0:5, -14.549 ,dBm
8:0:5, -14.534 ,dBm
8:0:5, -14.546 ,dBm
8:0:5, -14.559 ,dBm
8:0:5, -14.578 ,dBm
8:0:5, -14.585 ,dBm
8:0:5, -14.584 ,dBm
8:0:5, -14.588 ,dBm
8:0:5, -14.594 ,dBm
8:0:6, -14.599 ,dBm
8:0:6, -14.591 ,dBm
8:0:6, -14.598 ,dBm
8:0:6, -14.597 ,dBm
8:0:6, -14.605 ,dBm
8:0:6, -14.6 ,dBm
8:0:6, -14.612 ,dBm
8:0:6, -14.622 ,dBm
8:0:6, -14.624 ,dBm
8:0:6, -14.609 ,dBm
8:0:7, -14.602 ,dBm
8:0:7, -14.597 ,dBm
8:0:7, -14.57 ,dBm
8:0:7, -14.572 ,dBm
8:0:7, -14.575 ,dBm
8:0:7, -14.592 ,dBm
8:0:7, -14.606 ,dBm
8:0:7, -14.594 ,dBm
8:0:7, -14.577 ,dBm
8:0:7, -14.574 ,dBm
